Date;Check;Article;Count;Cost
03.03.2017;IT0100168;0103152;1;6320
03.03.2017;IT0100168;0105735;1;1439
03.03.2017;IT0100168;0105736;1;1922
03.03.2017;IT0100169;0105743;1;399
03.03.2017;IT0100170;0105747;1;560
03.03.2017;IT0100170;0105759;1;736
03.03.2017;IT0100171;0102335;1;1599
03.03.2017;IT0100171;0110488;1;610
03.03.2017;IT0100171;0110491;1;700
03.03.2017;IT0100172;0110495;1;1848
03.03.2017;IT0100172;0110496;1;960
03.03.2017;IT0100173;0110488;1;610
03.03.2017;IT0100174;0101329;2;6072
03.03.2017;IT0100175;0101336;1;10622
03.03.2017;IT0100176;0101337;1;6350
03.03.2017;IT0100176;0101339;1;4278
03.03.2017;IT0100176;0100632;1;1754
03.03.2017;IT0100176;0105735;1;1439
03.03.2017;IT0100177;0105736;1;1922
03.03.2017;IT0100177;0105738;1;879
03.03.2017;IT0100177;0109013;2;799
03.03.2017;IT0100178;0101323;1;4819
03.03.2017;IT0100179;0101326;1;4959
03.03.2017;IT0100179;0101329;1;6072
03.03.2017;IT0100180;0101332;1;9191
03.03.2017;IT0100181;0101336;1;10622
03.03.2017;IT0100181;0101337;1;6350
03.03.2017;IT0100182;0101339;1;4278
03.03.2017;IT0100182;0102440;1;7040
03.03.2017;IT0100183;0102442;1;2194
03.03.2017;IT0100184;0102444;1;4392
03.03.2017;IT0100184;0102447;2;2194
03.03.2017;IT0100184;0102453;1;6696
03.03.2017;IT0100185;0102454;1;4392
03.03.2017;IT0100185;0102461;1;1739
03.03.2017;IT0100186;0102469;1;3984
03.03.2017;IT0100187;0102470;1;3984
03.03.2017;IT0100187;0102471;1;3984
03.03.2017;IT0100188;0102474;1;17592
03.03.2017;IT0100189;0111513;1;2184
03.03.2017;IT0100189;0102479;1;371
03.03.2017;IT0100190;0102493;1;1032
03.03.2017;IT0100190;0102578;1;1592
03.03.2017;IT0100191;0102584;1;1396
03.03.2017;IT0100192;0102721;1;996
03.03.2017;IT0100193;0102723;1;337
03.03.2017;IT0100193;0105755;1;423
03.03.2017;IT0100193;0105759;2;736
03.03.2017;IT0100194;0110145;1;2119
04.03.2017;IT0100194;0102436;1;2856
04.03.2017;IT0100195;0102438;1;2856
04.03.2017;IT0100195;0102440;1;7040
04.03.2017;IT0100196;0102442;1;2194
04.03.2017;IT0100196;0102446;1;2194
04.03.2017;IT0100197;0102461;1;1739
04.03.2017;IT0100198;0102474;1;17592
04.03.2017;IT0100198;0102439;1;11920
04.03.2017;IT0100198;0102444;1;4392
04.03.2017;IT0100199;0102453;2;6696
04.03.2017;IT0100199;0102470;1;3984
04.03.2017;IT01001100;0102471;1;3984
04.03.2017;IT01001101;0101329;1;6072
04.03.2017;IT01001101;0101339;2;4278
04.03.2017;IT01001102;0100632;1;1754
04.03.2017;IT01001103;0105735;1;1439
04.03.2017;IT01001103;0105736;1;1922
04.03.2017;IT01001104;0105738;1;879
04.03.2017;IT01001105;0105755;1;423
04.03.2017;IT01001105;0105759;1;736
04.03.2017;IT01001106;0109013;1;799
04.03.2017;IT01001107;0110145;2;2119
04.03.2017;IT01001107;0101041;1;1439
04.03.2017;IT01001108;0100636;1;4792
04.03.2017;IT01001108;0100649;1;799
04.03.2017;IT01001108;0101028;1;1664
04.03.2017;IT01001108;0105735;2;1439
04.03.2017;IT01001109;0102377;1;35188
04.03.2017;IT01001109;0105736;1;1922
04.03.2017;IT01001110;0105755;1;423
04.03.2017;IT01001110;0105757;1;1922
04.03.2017;IT01001110;0105759;1;736
04.03.2017;IT01001111;0110142;1;1039
04.03.2017;IT01001112;0102382;1;6320
04.03.2017;IT01001112;0102482;1;1396
04.03.2017;IT01001113;0102483;1;1396
04.03.2017;IT01001114;0102493;1;1032
04.03.2017;IT01001114;0102584;1;1396
04.03.2017;IT01001114;0102340;1;832
04.03.2017;IT01001114;0102342;1;1007
04.03.2017;IT01001115;0101337;1;6350
04.03.2017;IT01001116;0102479;1;371
04.03.2017;IT01001116;0102493;1;1032
04.03.2017;IT01001117;0102578;2;1592
04.03.2017;IT01001117;0102584;1;1396
04.03.2017;IT01001117;0102721;1;996
04.03.2017;IT01001118;0102723;1;337
04.03.2017;IT01001119;0101336;1;10622
04.03.2017;IT01001119;0102447;1;2194
04.03.2017;IT01001120;0102452;1;2194
04.03.2017;IT01001120;0102469;1;3984
04.03.2017;IT01001121;0102307;1;1592
04.03.2017;IT01001122;0102310;1;1592
04.03.2017;IT01001123;0102313;2;1839
04.03.2017;IT01001123;0102330;1;1599
05.03.2017;IT01001124;0101041;1;1439
05.03.2017;IT01001124;0102392;1;35264
05.03.2017;IT01001125;0102478;1;371
05.03.2017;IT01001125;0102491;1;996
05.03.2017;IT01001125;0105755;1;423
05.03.2017;IT01001126;0105757;1;1922
05.03.2017;IT01001126;0105759;1;736
05.03.2017;IT01001126;0110145;1;2119
05.03.2017;IT01001126;0101326;1;4959
05.03.2017;IT01001127;0101332;1;9191
05.03.2017;IT01001128;0102306;1;1592
05.03.2017;IT01001128;0102307;1;1592
05.03.2017;IT01001128;0102308;2;1592
05.03.2017;IT01001128;0102309;1;1592
05.03.2017;IT01001128;0102310;1;1592
05.03.2017;IT01001129;0102311;1;1839
05.03.2017;IT01001129;0102312;1;3032
05.03.2017;IT01001129;0102313;1;1839
05.03.2017;IT01001130;0102339;1;1592
05.03.2017;IT01001130;0102578;1;1592
05.03.2017;IT01001130;0102436;1;2856
05.03.2017;IT01001131;0102439;1;11920
05.03.2017;IT01001131;0102453;1;6696
05.03.2017;IT01001131;0101323;1;4819
05.03.2017;IT01001132;0101326;1;4959
05.03.2017;IT01001132;0101329;1;6072
05.03.2017;IT01001133;0101332;1;9191
05.03.2017;IT01001133;0101336;1;10622
05.03.2017;IT01001134;0101337;1;6350
05.03.2017;IT01001134;0101339;1;4278
05.03.2017;IT01001135;0102440;1;7040
05.03.2017;IT01001136;0102442;1;2194
05.03.2017;IT01001136;0102444;1;4392
05.03.2017;IT01001137;0102447;1;2194
05.03.2017;IT01001137;0102453;1;6696
05.03.2017;IT01001138;0102454;1;4392
05.03.2017;IT01001139;0102461;1;1739
05.03.2017;IT01001140;0102469;1;3984
05.03.2017;IT01001141;0102470;2;3984
05.03.2017;IT01001141;0102471;1;3984
05.03.2017;IT01001142;0102474;1;17592
05.03.2017;IT01001142;0111513;1;2184
05.03.2017;IT01001142;0100597;1;2144
05.03.2017;IT01001142;0100598;1;919
05.03.2017;IT01001143;0102341;1;798
05.03.2017;IT01001144;0102342;1;1007
05.03.2017;IT01001145;0102492;1;1032
05.03.2017;IT01001145;0102493;1;1032
05.03.2017;IT01001146;0102548;2;35264
05.03.2017;IT01001146;0102549;1;371
05.03.2017;IT01001147;0102584;1;1396
05.03.2017;IT01001148;0102721;1;996
05.03.2017;IT01001148;0102722;1;1032
05.03.2017;IT01001148;0102723;1;337
05.03.2017;IT01001148;0103152;1;6320
05.03.2017;IT01001149;0102419;1;3984
05.03.2017;IT01001149;0102420;1;4010
05.03.2017;IT01001150;0102425;1;2856
05.03.2017;IT01001151;0102426;1;2856
05.03.2017;IT01001151;0102431;1;2856
05.03.2017;IT01001151;0102432;1;4010
05.03.2017;IT01001151;0102442;2;2194
05.03.2017;IT01001152;0102447;1;2194
05.03.2017;IT01001152;0102469;1;3984
05.03.2017;IT01001152;0102470;2;3984
05.03.2017;IT01001152;0102471;1;3984
05.03.2017;IT01001153;0102307;1;1592
05.03.2017;IT01001153;0102310;1;1592
05.03.2017;IT01001153;0102313;1;1839
05.03.2017;IT01001154;0102330;1;1599
05.03.2017;IT01001155;0102439;1;11920
05.03.2017;IT01001156;0100597;1;2144
05.03.2017;IT01001156;0100600;1;1920
05.03.2017;IT01001156;0102306;1;1592
05.03.2017;IT01001157;0102307;2;1592
05.03.2017;IT01001158;0102308;2;1592
05.03.2017;IT01001158;0102309;1;1592
05.03.2017;IT01001159;0102310;1;1592
05.03.2017;IT01001160;0102312;1;3032
05.03.2017;IT01001161;0102313;1;1839
05.03.2017;IT01001161;0102377;1;35188
05.03.2017;IT01001162;0102482;2;1396
05.03.2017;IT01001162;0102491;1;996
05.03.2017;IT01001163;0102492;1;1032
05.03.2017;IT01001163;0102493;1;1032
05.03.2017;IT01001164;0102548;1;35264
05.03.2017;IT01001165;0102584;1;1396
05.03.2017;IT01001165;0102721;1;996
05.03.2017;IT01001166;0102722;1;1032
05.03.2017;IT01001166;0102723;1;337
05.03.2017;IT01001167;0103151;1;1999
05.03.2017;IT01001167;0103152;1;6320
05.03.2017;IT01001168;0105735;1;1439
05.03.2017;IT01001168;0105736;1;1922
05.03.2017;IT01001169;0105743;1;399
05.03.2017;IT01001169;0105747;2;560
05.03.2017;IT01001170;0105759;1;736
06.03.2017;IT01001170;0101326;1;4959
06.03.2017;IT01001170;0101329;1;6072
06.03.2017;IT01001171;0101330;1;4792
06.03.2017;IT01001172;0101339;2;4278
06.03.2017;IT01001173;0110488;1;610
06.03.2017;IT01001173;0101326;1;4959
06.03.2017;IT01001174;0101329;1;6072
06.03.2017;IT01001174;0101330;2;4792
06.03.2017;IT01001174;0101332;1;9191
06.03.2017;IT01001175;0101336;1;10622
06.03.2017;IT01001176;0101339;1;4278
06.03.2017;IT01001176;0101340;1;3992
06.03.2017;IT01001176;0111515;1;968
06.03.2017;IT01001177;0102307;1;1592
06.03.2017;IT01001177;0102310;1;1592
06.03.2017;IT01001178;0102313;1;1839
06.03.2017;IT01001178;0100597;1;2144
06.03.2017;IT01001179;0102340;2;832
06.03.2017;IT01001179;0102397;1;35188
06.03.2017;IT01001179;0102398;1;35188
06.03.2017;IT01001180;0102483;1;1396
06.03.2017;IT01001180;0102493;1;1032
06.03.2017;IT01001181;0102584;1;1396
06.03.2017;IT01001181;0102723;1;337
06.03.2017;IT01001181;0105755;1;423
06.03.2017;IT01001182;0105757;1;1922
06.03.2017;IT01001182;0105759;1;736
06.03.2017;IT01001183;0110140;1;287
06.03.2017;IT01001184;0110143;1;1599
06.03.2017;IT01001185;0110145;1;2119
06.03.2017;IT01001185;0105738;2;879
06.03.2017;IT01001186;0102332;1;1599
06.03.2017;IT01001186;0102338;1;1592
06.03.2017;IT01001187;0102436;1;2856
06.03.2017;IT01001187;0102439;1;11920
06.03.2017;IT01001188;0102440;1;7040
06.03.2017;IT01001188;0102442;1;2194
06.03.2017;IT01001189;0102444;1;4392
06.03.2017;IT01001190;0102447;1;2194
06.03.2017;IT01001190;0102453;1;6696
06.03.2017;IT01001190;0102454;2;4392
06.03.2017;IT01001191;0102461;2;1739
06.03.2017;IT01001192;0102467;1;2318
06.03.2017;IT01001192;0102474;1;17592
06.03.2017;IT01001192;0100598;1;919
06.03.2017;IT01001193;0101041;1;1439
06.03.2017;IT01001193;0105734;1;423
06.03.2017;IT01001193;0105735;2;1439
06.03.2017;IT01001194;0105736;2;1922
07.03.2017;IT01001194;0102416;1;3984
07.03.2017;IT01001195;0102421;1;4010
07.03.2017;IT01001195;0102427;1;4010
07.03.2017;IT01001195;0102436;1;2856
07.03.2017;IT01001195;0102439;1;11920
07.03.2017;IT01001196;0102442;1;2194
07.03.2017;IT01001196;0102446;1;2194
07.03.2017;IT01001196;0102447;1;2194
07.03.2017;IT01001197;0102452;2;2194
07.03.2017;IT01001198;0102453;1;6696
07.03.2017;IT01001198;0100597;1;2144
07.03.2017;IT01001199;0100595;1;1119
07.03.2017;IT01001199;0101041;2;1439
07.03.2017;IT01001200;0102382;1;6320
07.03.2017;IT01001200;0102397;1;35188
07.03.2017;IT01001200;0105738;1;879
07.03.2017;IT01001201;0105755;1;423
07.03.2017;IT01001201;0105757;1;1922
07.03.2017;IT01001201;0105759;1;736
07.03.2017;IT01001202;0109013;1;799
07.03.2017;IT01001202;0102440;1;7040
07.03.2017;IT01001202;0102444;1;4392
07.03.2017;IT01001202;0102454;1;4392
07.03.2017;IT01001203;0102461;2;1739
07.03.2017;IT01001204;0102467;1;2318
07.03.2017;IT01001204;0102474;1;17592
09.03.2017;IT01001205;0101336;1;10622
09.03.2017;IT01001206;0102436;1;2856
09.03.2017;IT01001206;0102438;1;2856
09.03.2017;IT01001206;0102440;1;7040
09.03.2017;IT01001207;0102442;1;2194
09.03.2017;IT01001207;0102446;1;2194
09.03.2017;IT01001208;0102447;1;2194
09.03.2017;IT01001209;0102452;1;2194
09.03.2017;IT01001210;0102461;1;1739
09.03.2017;IT01001210;0102469;1;3984
09.03.2017;IT01001211;0102470;1;3984
09.03.2017;IT01001211;0102471;1;3984
09.03.2017;IT01001211;0102474;1;17592
09.03.2017;IT01001212;0101329;2;6072
09.03.2017;IT01001212;0101339;1;4278
09.03.2017;IT01001212;0102439;1;11920
09.03.2017;IT01001213;0102444;2;4392
09.03.2017;IT01001213;0102453;1;6696
09.03.2017;IT01001213;0101337;1;6350
09.03.2017;IT01001213;0101045;1;2507
09.03.2017;IT01001214;0105736;2;1922
09.03.2017;IT01001214;0105738;1;879
09.03.2017;IT01001215;0105743;1;399
09.03.2017;IT01001215;0105747;1;560
09.03.2017;IT01001215;0100632;1;1754
09.03.2017;IT01001215;0102479;1;371
09.03.2017;IT01001216;0102493;1;1032
09.03.2017;IT01001216;0102578;1;1592
09.03.2017;IT01001216;0102584;1;1396
09.03.2017;IT01001216;0102721;1;996
09.03.2017;IT01001217;0102723;1;337
09.03.2017;IT01001218;0105735;2;1439
09.03.2017;IT01001218;0105736;1;1922
09.03.2017;IT01001218;0105738;1;879
09.03.2017;IT01001219;0105755;1;423
09.03.2017;IT01001220;0105759;1;736
09.03.2017;IT01001220;0109013;1;799
09.03.2017;IT01001221;0110145;1;2119
09.03.2017;IT01001221;0102307;1;1592
09.03.2017;IT01001221;0102308;1;1592
09.03.2017;IT01001222;0102310;1;1592
09.03.2017;IT01001222;0102311;1;1839
09.03.2017;IT01001223;0102313;1;1839
09.03.2017;IT01001223;0102338;1;1592
10.03.2017;IT01001223;0102439;1;11920
10.03.2017;IT01001224;0102453;1;6696
10.03.2017;IT01001225;0101326;1;4959
10.03.2017;IT01001225;0101329;1;6072
10.03.2017;IT01001225;0101330;1;4792
10.03.2017;IT01001226;0101336;2;10622
10.03.2017;IT01001226;0101339;1;4278
10.03.2017;IT01001227;0102416;1;3984
10.03.2017;IT01001227;0102421;1;4010
10.03.2017;IT01001228;0102427;1;4010
10.03.2017;IT01001229;0102438;1;2856
10.03.2017;IT01001229;0102439;1;11920
10.03.2017;IT01001230;0102440;1;7040
10.03.2017;IT01001230;0102444;1;4392
10.03.2017;IT01001231;0102446;1;2194
10.03.2017;IT01001232;0102447;1;2194
10.03.2017;IT01001233;0102452;1;2194
10.03.2017;IT01001233;0102453;1;6696
10.03.2017;IT01001233;0102454;1;4392
10.03.2017;IT01001234;0102459;1;3984
10.03.2017;IT01001234;0102460;1;3984
10.03.2017;IT01001234;0102465;1;3984
10.03.2017;IT01001234;0102467;1;2318
10.03.2017;IT01001234;0111512;1;3176
10.03.2017;IT01001235;0111515;2;968
10.03.2017;IT01001235;0102377;1;35188
10.03.2017;IT01001235;0102491;2;996
10.03.2017;IT01001236;0102492;1;1032
10.03.2017;IT01001237;0102493;1;1032
10.03.2017;IT01001237;0102548;2;35264
10.03.2017;IT01001237;0102584;1;1396
10.03.2017;IT01001238;0102721;1;996
10.03.2017;IT01001239;0102723;1;337
10.03.2017;IT01001240;0103151;1;1999
10.03.2017;IT01001240;0103152;1;6320
10.03.2017;IT01001241;0102444;1;4392
10.03.2017;IT01001241;0102461;1;1739
10.03.2017;IT01001241;0102474;1;17592
10.03.2017;IT01001241;0101329;1;6072
10.03.2017;IT01001242;0101339;1;4278
10.03.2017;IT01001243;0101341;1;3472
10.03.2017;IT01001244;0111513;1;2184
11.03.2017;IT01001244;0101045;1;2507
11.03.2017;IT01001245;0105736;1;1922
11.03.2017;IT01001245;0105738;1;879
11.03.2017;IT01001246;0100595;1;1119
11.03.2017;IT01001247;0100597;1;2144
11.03.2017;IT01001248;0100632;1;1754
11.03.2017;IT01001248;0101045;1;2507
11.03.2017;IT01001248;0102341;1;798
11.03.2017;IT01001249;0102381;2;6320
11.03.2017;IT01001249;0102477;1;371
11.03.2017;IT01001249;0102483;1;1396
11.03.2017;IT01001250;0102491;1;996
11.03.2017;IT01001250;0102493;1;1032
11.03.2017;IT01001251;0102548;1;35264
11.03.2017;IT01001252;0102584;1;1396
11.03.2017;IT01001252;0102721;1;996
11.03.2017;IT01001253;0102722;1;1032
11.03.2017;IT01001253;0102723;1;337
11.03.2017;IT01001253;0105747;1;560
11.03.2017;IT01001253;0105755;1;423
11.03.2017;IT01001254;0105757;1;1922
11.03.2017;IT01001254;0105759;1;736
11.03.2017;IT01001255;0109013;1;799
11.03.2017;IT01001255;0100597;1;2144
11.03.2017;IT01001256;0100632;1;1754
11.03.2017;IT01001256;0101045;2;2507
11.03.2017;IT01001257;0102341;1;798
11.03.2017;IT01001257;0102381;1;6320
11.03.2017;IT01001258;0102477;1;371
11.03.2017;IT01001259;0102491;1;996
11.03.2017;IT01001260;0102493;1;1032
11.03.2017;IT01001260;0102548;1;35264
11.03.2017;IT01001261;0102584;1;1396
11.03.2017;IT01001261;0102721;1;996
11.03.2017;IT01001262;0102722;1;1032
11.03.2017;IT01001262;0102723;2;337
11.03.2017;IT01001262;0105747;1;560
11.03.2017;IT01001263;0105755;1;423
11.03.2017;IT01001263;0105757;2;1922
11.03.2017;IT01001263;0109013;1;799
11.03.2017;IT01001263;0102307;1;1592
11.03.2017;IT01001264;0102310;1;1592
11.03.2017;IT01001265;0102313;1;1839
11.03.2017;IT01001265;0101041;1;1439
11.03.2017;IT01001266;0105735;1;1439
11.03.2017;IT01001266;0105755;1;423
11.03.2017;IT01001267;0109013;1;799
11.03.2017;IT01001268;0102307;1;1592
11.03.2017;IT01001268;0102310;1;1592
11.03.2017;IT01001269;0102313;1;1839
11.03.2017;IT01001269;0102330;1;1599
11.03.2017;IT01001270;0102338;2;1592
11.03.2017;IT01001270;0102339;1;1592
11.03.2017;IT01001271;0105743;2;399
11.03.2017;IT01001271;0100597;1;2144
11.03.2017;IT01001271;0100598;1;919
11.03.2017;IT01001272;0101041;1;1439
11.03.2017;IT01001273;0102306;1;1592
11.03.2017;IT01001273;0102307;1;1592
11.03.2017;IT01001274;0102308;1;1592
11.03.2017;IT01001274;0102309;1;1592
11.03.2017;IT01001275;0102310;1;1592
11.03.2017;IT01001275;0102311;1;1839
11.03.2017;IT01001276;0102312;1;3032
11.03.2017;IT01001277;0102313;1;1839
11.03.2017;IT01001277;0102339;2;1592
11.03.2017;IT01001278;0102341;1;798
11.03.2017;IT01001278;0102342;1;1007
11.03.2017;IT01001278;0102392;1;35264
11.03.2017;IT01001278;0102478;1;371
11.03.2017;IT01001279;0102491;1;996
11.03.2017;IT01001280;0102492;1;1032
11.03.2017;IT01001280;0102493;1;1032
11.03.2017;IT01001281;0102548;1;35264
11.03.2017;IT01001281;0102549;1;371
11.03.2017;IT01001282;0102578;1;1592
11.03.2017;IT01001282;0102584;1;1396
11.03.2017;IT01001282;0102721;1;996
11.03.2017;IT01001283;0102722;1;1032
11.03.2017;IT01001283;0102723;2;337
11.03.2017;IT01001284;0103152;1;6320
11.03.2017;IT01001284;0105755;1;423
11.03.2017;IT01001284;0105757;1;1922
11.03.2017;IT01001285;0105759;1;736
11.03.2017;IT01001286;0110145;1;2119
11.03.2017;IT01001287;0101330;1;4792
11.03.2017;IT01001287;0101336;1;10622
11.03.2017;IT01001288;0102307;1;1592
11.03.2017;IT01001289;0102310;1;1592
11.03.2017;IT01001289;0102313;1;1839
11.03.2017;IT01001289;0102330;1;1599
11.03.2017;IT01001290;0102339;1;1592
11.03.2017;IT01001291;0101329;1;6072
11.03.2017;IT01001291;0101339;1;4278
11.03.2017;IT01001292;0101341;2;3472
11.03.2017;IT01001292;0102444;1;4392
11.03.2017;IT01001293;0111513;1;2184
11.03.2017;IT01001293;0102420;1;4010
11.03.2017;IT01001294;0102426;1;2856
11.03.2017;IT01001294;0102432;1;4010
11.03.2017;IT01001294;0102436;2;2856
11.03.2017;IT01001295;0102440;1;7040
11.03.2017;IT01001295;0102442;2;2194
11.03.2017;IT01001296;0102444;1;4392
11.03.2017;IT01001296;0102461;1;1739
11.03.2017;IT01001297;0102474;1;17592
11.03.2017;IT01001297;0102377;1;35188
11.03.2017;IT01001298;0102492;1;1032
11.03.2017;IT01001298;0102584;1;1396
11.03.2017;IT01001299;0105747;2;560
11.03.2017;IT01001299;0102439;1;11920
11.03.2017;IT01001300;0102447;1;2194
11.03.2017;IT01001300;0102453;2;6696
11.03.2017;IT01001300;0101330;2;4792
11.03.2017;IT01001301;0101336;1;10622
11.03.2017;IT01001302;0102420;1;4010
11.03.2017;IT01001302;0102426;1;2856
11.03.2017;IT01001303;0102432;1;4010
11.03.2017;IT01001303;0102436;1;2856
11.03.2017;IT01001304;0102440;1;7040
11.03.2017;IT01001305;0102442;1;2194
11.03.2017;IT01001305;0102444;1;4392
11.03.2017;IT01001306;0102461;1;1739
11.03.2017;IT01001306;0102474;1;17592
11.03.2017;IT01001307;0102439;1;11920
11.03.2017;IT01001307;0102447;1;2194
11.03.2017;IT01001308;0102453;1;6696
11.03.2017;IT01001309;0102308;2;1592
11.03.2017;IT01001309;0102311;1;1839
11.03.2017;IT01001310;0102491;1;996
11.03.2017;IT01001311;0102493;1;1032
11.03.2017;IT01001312;0102548;1;35264
11.03.2017;IT01001312;0102721;1;996
11.03.2017;IT01001312;0102723;1;337
11.03.2017;IT01001313;0103151;1;1999
11.03.2017;IT01001313;0103152;1;6320
12.03.2017;IT01001314;0102438;2;2856
12.03.2017;IT01001314;0102461;1;1739
12.03.2017;IT01001315;0102436;1;2856
